behindn,rank,blinkerclasses,course,date,drawing,going,horse,horse_no,jockey,latest_sr,n_dist,net_adj,net_load,odd_fn,race_class,race_no,raceref_id,rating,runners,track_name,trainer,weights,wt_carried
7.5,13,,B+2,2011-01-01,4,GD,CORPORAL JONES,6,Z Purton,114.0,1600,0,126,430,1,11,30295,93,13,S,P O Sullivan,1086,126
7.25,12,,B+2,2011-01-01,11,GD,HOLLYWOOD KISS,9,T Angland,110.0,1600,0,125,640,1,11,30295,92,13,S,D Cruz,1035,125
4.5,11,,B+2,2011-01-01,10,GD,OLE OLE,12,K C Leung,111.0,1600,-5,121,990,1,11,30295,88,13,S,A Lee,965,116
4.25,10,,B+2,2011-01-01,13,GD,FLEET COMMAND,1,M Guyon,116.0,1600,0,133,160,1,11,30295,100,13,S,D E Ferraris,1122,133
4.0,9,,B+2,2011-01-01,3,GD,ENHANCED,10,D Whyte,114.0,1600,0,124,55,1,11,30295,91,13,S,J Size,1122,124
3.0,8,,B+2,2011-01-01,8,GD,INTERCHINA STAR,11,O Doleuze,114.0,1600,0,121,320,1,11,30295,88,13,S,A S Cruz,1111,121
2.75,7,,B+2,2011-01-01,1,GD,BOUNCER,13,G Cheyne,114.0,1600,0,115,460,1,11,30295,82,13,S,C Fownes,1180,115
2.5,6,,B+2,2011-01-01,6,GD,MARK UP,5,G Mosse,118.0,1600,0,128,69,1,11,30295,95,13,S,C Fownes,1168,128
1.5,5,,B+2,2011-01-01,12,GD,OUTDOOR PEGASUS,7,H W Lai,119.0,1600,-2,126,380,1,11,30295,93,13,S,P F Yiu,1048,124
1.5,4,,B+2,2011-01-01,5,GD,SAPELLI,8,J Lloyd,120.0,1600,0,126,100,1,11,30295,93,13,S,J Size,1100,126
0.75,3,,B+2,2011-01-01,7,GD,SOARING DRAGON,4,N Callan,122.0,1600,0,130,450,1,11,30295,97,13,S,J Moore,1203,130
